1306,International Heavy Haul Association Conference,,ERA2010,A,No,0913,0905,0915
1307,International Heavy Haul Conference,,ERA2010,A,No,0913,0905,0915
1322,International Manufacturing Leaders Forum,,ERA2010,C,No,0910,0913,0915
1323,International Maritime Conference,,ERA2010,B,No,0911,,
1325,International Mineral Processing Congress,,ERA2010,A,No,0914,,
1332,International Pipeline Conference,,ERA2010,A,No,0913,0914,
1336,International Research Council on the Biomechanics of Impact,,ERA2010,A,No,0902,0903,0913
1342,International Symposium of Automation and Robotics in Construction,,ERA2010,A,No,0905,0910,
1344,International Symposium on Active Control of Sound and Vibration,,ERA2010,A,No,0913,,
1346,International Symposium on Advanced Technology for Plasticity,,ERA2010,A,No,0910,0913,
1347,International Symposium on Advances in Abrasive Technology,,ERA2010,A,No,0910,0913,
1360,International Symposium on Cavitation,,ERA2010,B,No,0915,0911,
1365,International Symposium on Combustion,,ERA2010,A,No,0913,,
1367,International Symposium on Computational Geomechanics,,ERA2010,A,No,0905,,
1377,"International Symposium on Environmental Vibrations: Prediction, Monitoring, Mitigation and Evaluation",,ERA2010,B,No,0905,,
1381,International Symposium on frontiers in offshore geotechnics,,ERA2010,B,No,0905,,
1407,International Symposium on Plasticity and Its Current Applications,,ERA2010,A,No,0910,0913,
1419,International Symposium on Structural Engineering,,ERA2010,B,No,0905,,
1428,International Symposium on Vehicle System Dynamics,,ERA2010,A,No,0913,,
1433,International Towing Tank Conference,,ERA2010,A,No,0911,,
1434,International Tribology Conference in Australia,,ERA2010,A,No,0910,0913,
1515,International Workshop on Precipitation in Urban Areas,,ERA2010,A,No,0905,,
1560,IUTAM Symposia series,,ERA2010,A,No,0913,0901,
1561,IWA World Water Congress,,ERA2010,A,No,0905,0907,
1578,JSME/ASME International Conference on Materials and Processing,,ERA2010,A,No,0910,0913,
1609,Meeting of the International Environmental Modelling and Software Society,,ERA2010,B,No,0907,0905,
1613,"Mini-EURO Conference, Managing Uncertainty in Decision Support Models",,ERA2010,A,No,09,,
1619,Modelling and Simulation,,ERA2010,A,No,0905,0907,
1623,Multi-national Joint Ventures for Construction Works Conference,,ERA2010,C,No,1202,,
1624,NACE International - Corrosion,,ERA2010,A,No,0913,,
1631,National Conference on Hydraulics in Water Engineering,,ERA2010,B,No,0907,0905,
1641,New Heritage: Beyond Verisimilitude. Conference on Cultural Heritage and New Media. Proceedings of the New Heritage Conference,,ERA2010,,No,1201,,
1645,Nordic Construction Economics and Organisation Conference,,ERA2010,C,No,1202,,
1684,Powders and Grains,,ERA2010,A,No,0913,,
1694,Proceedings MIT Conferences on Computational Solid and Fluid Mechanics,,ERA2010,A,No,0905,,
1707,RINA International Conference on Military Support Ships,,ERA2010,C,No,0911,,
1711,"SAE Powertrains, Fuels, and Lubricants Meeting",,ERA2010,B,No,0902,0913,
1712,SAE World Congress,,ERA2010,B,No,0902,0913,
1718,SEFI - Annual Conference of European Society for Engineering Education,,ERA2010,B,No,09,,
1735,Sixth International Conference on Hydroinformatics 2004,,ERA2010,A,No,0907,0905,
1747,"Southeastern International Conference on Combinatorics, Graph Theory, and Computing",,ERA2010,C,No,0802,,
1758,SPIE Smart Structures and Materials and Non-destructive Evaluation and Health Monitoring,,ERA2010,A,No,0905,0913,
1760,Stapp Car Crash Conference,,ERA2010,A,No,0902,0903,0913
1776,Symposium on Advanced Structural Steels and New Rolling Technologies,,ERA2010,B,No,0910,0915,
1787,Symposium on Information Theory in the Benelux,,ERA2010,C,Yes,0804,,
1803,The Claude Shannon Workshop on Coding and Cryptography,,ERA2010,C,No,0804,,
1805,The IASTED International Conference on Applied Simulation and Modelling (International Association of Science and Technology for Development),,ERA2010,C,No,09,,
1813,The World Conference on Titanium,,ERA2010,A,No,0914,,
1816,Thermo and Fluid Dynamic Processes in Diesel Engines,,ERA2010,B,No,0902,0913,
1817,TMS Annual Meeting and Exhibition,,ERA2010,B,No,0914,,
1823,Turbulence and Shear Flow Phenomena,,ERA2010,A,No,0901,0913,
1829,UK Wind Engineering Society Conference on Wind Engineering,,ERA2010,C,No,0905,,
1836,US Office of Naval Research Symposium on Naval Hydrodynamics,,ERA2010,C,No,0911,,
1859,Water Down Under 2008 (incorporating the 31st Hydrology and Water Resources Symposium and the 4th International Conference on Water Resources and Environment Research),,ERA2010,A,No,0907,0905,
4,3-D Digital Imaging and Modelling,3DIM,ERA2010,C,No,0801,,
1343,International Symposium on 3D Data Processing Visualization and Transmission,3DPVT,ERA2010,C,No,0801,,
728,IEEE Symposium on 3D User Interfaces,3DUI,ERA2010,B,No,0801,,
884,International Conference on 3G Mobile Communication Technologies,3G,ERA2010,C,No,0801,,
1445,International Workshop on Advanced Architectures and Algorithms for Internet Delivery and Applications,AAA-IDEA,ERA2010,C,No,0806,,
1351,"International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes",AAAAECC,ERA2010,B,No,0802,,
1772,Symposium of Asian Association for Algorithms and Computation,AAAC,ERA2010,C,No,0802,,
111,American Association of Cost Engineers Annual Meeting,AACE,ERA2010,A,No,1202,,
356,Conference on Algorithmic Aspects in Information and Management,AAIM,ERA2010,C,No,0806,,
194,Association of Architecture Schools of Australasia Annual Conference (AASA),AASA,ERA2010,C,No,1201,,
882,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,ERA2010,C,No,0803,,
198,Athens Colloquium on Algorithms and Complexity,ACAC,ERA2010,C,Yes,0802,,
205,Australasian Computer Architecture Conference,ACAC,ERA2010,C,Yes,0803,,
192,Association for Computer Aided Design in Architecture (ACADIA) Conference,ACADIA,ERA2010,A,No,1201,,
90,Advanced Course on Artificial Intelligence,ACAI,ERA2010,C,No,0801,,
249,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,ERA2010,B,Yes,0801,,
145,Applied Computing Conference,ACC,ERA2010,C,No,08,,
210,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,ERA2010,C,Yes,0802,,
167,Asian Conference on Computer Vision,ACCV,ERA2010,B,No,0801,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,ERA2010,B,No,0806,1203,
209,Australasian Computers in Education Conference,ACEC,ERA2010,C,Yes,0899,,
1875,"Workshop on Algorithms, Combinatorics, and Geometry",ACG,ERA2010,C,No,0802,,
895,International Conference on Advances in Computer-Human Interactions,ACHI,ERA2010,C,No,0806,,
107,Algorithms and Complexity in Durham,ACID,ERA2010,C,No,0802,,
213,Australasian Conference on Information Systems,ACIS,ERA2010,A,Yes,0806,,
248,Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,ERA2010,B,Yes,0801,,
196,Association for Computational Linguistics,ACL,ERA2010,A,Yes,0801,,
41,ACM SIGCOMM Internet Measurement Conference,ACM IMC,ERA2010,A,No,1005,,
83,ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,ERA2010,B,No,0806,,
206,Australasian Computer Music Conference,ACMA,ERA2010,C,Yes,0899,,
251,Australian Conference on Neural Networks,ACNN,ERA2010,C,Yes,0801,,
252,Australian Conference on Software Metrics,ACOSM,ERA2010,C,Yes,0803,,
1883,"Workshop on Aspects, Components, and Patterns for Infrastructure Software",ACP4IS,ERA2010,C,No,0803,,
216,Australasian Conference on Robotics and Automation,ACRA,ERA2010,B,Yes,0801,,
267,Australian Supercomputing Conference,ACS,ERA2010,C,Yes,0805,,
195,Association of Collegiate Schools of Architecture (ACSA) Annual Meeting,ACSA,ERA2010,B,No,1201,,
208,Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,ERA2010,B,Yes,0803,,
207,Australasian Computer Science Conference,ACSC,ERA2010,B,Yes,08,,
142,Application of Concurrency to System Design,ACSD,ERA2010,B,Yes,0805,,
189,"Asilomar Conference on Signals, Systems and Computing",ACSSC,ERA2010,C,No,1005,,
1191,International Conference on Reliable Software Technologies,Ada-Europe,ERA2010,A,Yes,0803,,
1777,Symposium on Advances in DB and Information Systems,ADBIS,ERA2010,B,Yes,0804,0806,
219,Australasian Database Conference,ADC,ERA2010,B,Yes,0804,,
887,International Conference on Advanced Computing and Communications,AdCom,ERA2010,B,No,0805,,
886,International Conference on AD-HOC Networks and Wireless,ADHOC-NOW,ERA2010,B,Yes,1005,,
888,International Conference on Advanced Data Mining and Applications,ADMA,ERA2010,B,Yes,0804,,
1446,International Workshop on Agents and Data Mining Interaction,ADMI,ERA2010,B,No,0801,,
1345,International Symposium on Advanced DB Technologies and Integration,ADTI,ERA2010,B,No,0804,,
95,Advances in Information Systems,ADVIS,ERA2010,C,No,0806,,
1089,"International Conference on Innovation in Architecture, Engineering and Construction",AEC,ERA2010,C,No,0905,1201,
8,Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,ERA2010,C,Yes,0806,,
183,Asia-Pacific Forum on Engineering and Technology Education,AFETE,ERA2010,C,No,0999,,
112,American Federation of Information Processing Societies,AFIPS,ERA2010,C,Yes,08,,
959,"International Conference on Computer Graphics, Virtual Reality, Visualisation and Interaction in Africa",AFRIGRAPH,ERA2010,C,No,0801,,
256,Australian Game Developers Conference,AGDC,ERA2010,C,Yes,0806,,
221,Australasian Housing Researchers Conference,AHRC,ERA2010,A,No,1205,,
224,Australasian Joint Conference on Artificial Intelligence,AI,ERA2010,B,Yes,0801,,
386,Congress of the Italian Assoc for AI,AI*IA,ERA2010,B,Yes,0801,,
260,Australian Institute of Building Surveyors International Refereed Conference,AIBS,ERA2010,B,No,1202,,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,ERA2010,C,Yes,08,12,
261,Australian Institute of Computer Ethics Conference,AICE,ERA2010,C,Yes,0806,,
150,Artificial Intelligence in Medicine,AIIM,ERA2010,A,No,0801,,
149,Artificial Intelligence in Knowledge Management,AIKM,ERA2010,C,No,0801,,
151,International Conference on Artificial Intelligence in Medicine,AIME,ERA2010,A,Yes,0801,,
97,Advances in Modal Logic,AiML,ERA2010,A,Yes,0802,,
911,International Conference on Artificial Intelligence and Pattern Recognition,AIPR,ERA2010,C,No,0801,,
156,Asia Information Retrieval Symposium,AIRS,ERA2010,C,Yes,0806,,
96,Advances in Intelligent Systems,AIS,ERA2010,C,No,0801,,
109,Ambient Information Systems,AIS,ERA2010,B,No,1203,,
1065,International Conference on Informatics Education and Research,AIS SIGED: IAIM,ERA2010,B,Yes,0806,,
914,International Conference on Artificial Intelligence in Science and Technology,AISAT,ERA2010,C,No,0801,,
104,AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,ERA2010,B,No,1203,,
222,Australasian Information Security Conference,AISC,ERA2010,B,Yes,0804,,
201,Australasia Conference on Information Security and Privacy,AISP,ERA2010,C,Yes,0806,,
897,International Conference on Advances in Intelligent Systems: Theory and Applications,AISTA,ERA2010,B,No,0801,0806,
1885,"Workshop on Australasian Information Security, Data Mining and Web Intelligence, and Software Internationalisation",AISW,ERA2010,C,Yes,0804,,
223,Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,ERA2010,C,Yes,0803,,
99,Advances in the Theory of Computing,AITC,ERA2010,C,No,0802,,
262,Australian Knowledge Acquisition Workshop,AKAW,ERA2010,C,Yes,0801,,
1870,Workshop on Algorithm Engineering and Experiments,ALENEX,ERA2010,A,Yes,0802,,
1447,International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,ERA2010,C,Yes,1005,,
1728,"SIAM Workshop on Algorithms for Listing, Counting, and Enumeration",ALICE,ERA2010,C,No,0802,,
1240,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,ERA2010,A,Yes,0801,,
904,International Conference on Algebraic and Logic Programming,ALP,ERA2010,B,No,0802,,
892,International Conference on Advanced Language Processing and Web Information Technology,ALPIT,ERA2010,C,No,0806,,
106,Algorithmic Learning Theory,ALT,ERA2010,A,Yes,0802,,
105,Algebraic Methodology and Software Technology,AMAST,ERA2010,C,No,0802,0803,
729,IEEE Symposium on Advanced Management of Information for Globalized Enterprises,AMIGE,ERA2010,C,No,0806,,
110,Ambient Intelligence Developments,Aml.d,ERA2010,C,No,0801,,
169,Asian International Mobile Computing Conference,AMOC,ERA2010,C,No,0805,,
348,Conference of the Association for Machine Translation in the Americas,AMTA,ERA2010,B,No,0801,,
1876,Workshop on Analytic Algorithmics and Combinatorics,ANALCO,ERA2010,B,No,0802,,
360,Conference on Artificial Neural Networks and Expert systems,ANNES,ERA2010,C,No,0801,,
152,Artificial Neural Networks in Engineering Conference,ANNIE,ERA2010,B,No,0801,,
136,Annual Simulation Symposium,ANSS,ERA2010,C,Yes,0802,,
1450,International Workshop on Ant Colony,ANTS,ERA2010,B,No,0801,,
241,Australian and New Zealand Academy of Management Conference,ANZAM,ERA2010,C,Yes,0806,,
243,Australian and New Zealand Association of Planning schools,ANZAPS,ERA2010,B,No,1202,1205,
242,Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,ERA2010,B,No,1201,1202,
244,Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,ERA2010,C,Yes,0806,,
245,Australian and New Zealand Marketing Academy Conference,ANZMAC,ERA2010,C,Yes,0806,,
1809,The Modelling and Simulation Society of Australia and New Zealand Meeting,ANZMODS,ERA2010,C,Yes,0802,,
190,Aspect-Orientation Asia,AO-Asia,ERA2010,C,No,0803,,
358,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,ERA2010,B,Yes,0802,,
1552,Internet Research,AOIR,ERA2010,C,No,0806,,
100,Agent-Oriented Information Systems Workshop,AOIS,ERA2010,B,No,0801,,
1882,Workshop on Aspect-Oriented Modelling,AOM,ERA2010,C,No,0803,,
191,Aspect-Oriented Software Development,AOSD,ERA2010,A,No,0803,,
101,Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,ERA2010,C,No,0801,0803,
175,Asia-Pacific Bioinformatics Conference,APBC,ERA2010,B,No,0803,,
159,Asia Pacific Conference on Communications,APCC,ERA2010,B,Yes,1005,,
178,Asia-Pacific Conference on Conceptual Modelling,APCCM,ERA2010,B,No,0802,,
160,Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,ERA2010,C,No,1006,,
176,Asia-Pacific Computer Human Interaction Conference,APCHI,ERA2010,C,No,1203,,
173,Asian-Pacific Conference on Computational Mechanics,APCOM,ERA2010,A,No,0905,,
334,Computer Applications in The Mineral Industries,APCOM,ERA2010,A,No,0914,,
141,Application of Computers and Operations Research in the Minerals Industries,APCOMin,ERA2010,A,No,0909,0914,
161,Asia Pacific Decision Science Institute Conference,APDSI,ERA2010,C,No,0802,,
146,Applied Perception in Graphics and Visualization,APGV,ERA2010,C,No,0801,,
163,Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference,APIEMS CIIEC,ERA2010,C,No,1203,,
171,ASIAN Symposium on Programming Languages and Systems,APLAS,ERA2010,B,Yes,0803,,
184,Asia-Pacific Network Operations and Management Symposium,APNOMS,ERA2010,C,No,0805,,
349,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,ERA2010,C,No,0802,,
1451,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,ERA2010,A,Yes,0802,,
164,Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,ERA2010,C,No,0806,,
214,Australasian Conference on Parallel and Real-Time Systems,APRTS,ERA2010,C,Yes,0805,,
185,Asia-Pacific Services Computing Conference,APSCC,ERA2010,C,Yes,0805,,
186,Asia-Pacific Software Engineering Conference,APSEC,ERA2010,C,Yes,0803,,
1767,Structural Engineering and Construction Conference,APSEC-EASEC,ERA2010,B,No,0905,,
165,Web and Big Data,APWEB,ERA2010,C,Yes,0805,,
1778,Symposium on Assessment of Quality S/W Dev Tools,AQSDT,ERA2010,C,No,0803,,
1880,Workshop on Approximation and Randomization Algorithms in Communication Networks,ARACNE,ERA2010,C,No,0802,,
197,Association of Researchers in Construction Management Annual Conference,ARCOM,ERA2010,A,No,1202,,
920,"International Conference on Automation, Robotics and Control Systems",ARCS,ERA2010,C,No,0910,,
923,"International Conference on Availability, Reliability and Security",ARES,ERA2010,B,Yes,0803,,
743,IEEE Symposium on Computer Arithmetic,ARITH,ERA2010,C,No,0803,,
1355,International Symposium on Artificial Life and Robotics,AROB,ERA2010,C,No,0801,,
227,Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,ERA2010,C,No,1005,,
87,Active and Real-Time Database Systems,ARTDB,ERA2010,C,No,0804,,
917,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,ERA2010,C,Yes,0801,0806,
91,Advanced Research in VLSI,ARVLSI,ERA2010,C,No,0805,,
148,Argentine Symposium on Artificial Intelligence,ASAI,ERA2010,C,No,0801,,
908,"International Conference on Application-specific Systems, Architectures and Processors",ASAP,ERA2010,A,No,0805,,
118,Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,ERA2010,C,Yes,0899,,
